Product,Price,KMs,Fuel,Owners,Year,Location,Brand
Toyota Innova 2.5 VX 8 STR,545000,146000,Diesel,1,2007,Hyderabad,Toyota
Maruti Suzuki New Swift DZi...,730000,48000,Diesel,1,2017,Hyderabad,Maruti
Ford EcoSport 1.5 TDCi Tita...,780000,73000,Diesel,1,2016,Hyderabad,Ford
Ford Ikon DuraTorq 1.4 TDCi,175000,84000,Diesel,1,2009,Hyderabad,Ford
Maruti Suzuki Alto LXI BS IV,185000,72583,CNG,1,2011,Hyderabad,Maruti
Maruti Suzuki Swift Dzire V...,575000,82369,Diesel,1,2014,Hyderabad,Maruti
Maruti Suzuki Vitara Brezza...,1075000,38620,Diesel,1,2018,Hyderabad,Maruti
Hyundai i10 Sportz 1.2 AT,410000,57001,Petrol,,2012,Hyderabad,Hyundai
Maruti Suzuki Swift Dzire VDi,644060,77303,Diesel,1,2015,Hyderabad,Maruti
Volkswagen Vento 1.6L MT Hi...,611077,71731,Diesel,1,2014,Hyderabad,Volkswagen
Maruti Suzuki Swift VDi BS IV,348465,72179,Diesel,1,2010,Hyderabad,Maruti
Volkswagen Vento 1.6L MT Hi...,500000,49361,Petrol,1,2013,Hyderabad,Volkswagen
Volkswagen Vento 1.6L MT Hi...,597843,86584,Diesel,1,2013,Hyderabad,Volkswagen
Maruti Suzuki Alto LXI,185175,86156,Petrol,1,2007,Hyderabad,Maruti
Hyundai Eon Era,239355,97910,Petrol,1,2012,Hyderabad,Hyundai
Maruti Suzuki Zen Estilo VXi,174630,72277,Petrol,1,2006,Hyderabad,Maruti
Maruti Suzuki Wagon R 1.0 M...,381420,46755,Petrol,1,2013,Hyderabad,Maruti
Maruti Suzuki A Star Vxi,228922,106742,Petrol,1,2009,Hyderabad,Maruti
Hyundai Santro Xing GLS,262060,88290,Petrol,1,2010,Hyderabad,Hyundai
Maruti Suzuki Alto LXI,185497,76366,Petrol,1,2007,Hyderabad,Maruti
Maruti Suzuki Alto K10 VXi,272465,47589,Petrol,1,2012,Hyderabad,Maruti
Maruti Suzuki New Swift DZi...,764320,69586,Diesel,1,2016,Hyderabad,Maruti
Maruti Suzuki Swift VDi,622441,62625,Diesel,1,2015,Hyderabad,Maruti
Hyundai Elite i20 Magna Exe...,764145,25645,Diesel,1,2018,Hyderabad,Hyundai
Honda Brio V MT,447146,23748,Petrol,1,2013,Hyderabad,Honda
Tata Nano LX,150000,6406,Petrol,1,2012,Hyderabad,Tata
Maruti Suzuki Wagon R LXI,191053,98291,Petrol,1,2008,Hyderabad,Maruti
Maruti Suzuki Alto K10 VXi,250000,39290,Petrol,1,2010,Hyderabad,Maruti
Maruti Suzuki Wagon R 1.0 V...,463474,63296,Petrol,1,2015,Hyderabad,Maruti
Hyundai Eon D-Lite +,293792,93209,Petrol,1,2014,Hyderabad,Hyundai
Maruti Suzuki Omni E MPI ST...,196062,35495,Petrol,1,2010,Hyderabad,Maruti
Maruti Suzuki Wagon R 1.0 VXi,468811,38311,Petrol,1,2017,Hyderabad,Maruti
Hyundai i20 Sportz 1.4 CRDI,480231,94415,Diesel,1,2013,Hyderabad,Hyundai
Maruti Suzuki Swift Dzire VDi,590000,36658,Diesel,1,2014,Hyderabad,Maruti
Honda Jazz V 1.2L i-VTEC CVT,738705,36996,Petrol,1,2016,Hyderabad,Honda
Volkswagen Vento 1.6L MT Co...,620813,62543,Diesel,1,2014,Hyderabad,Volkswagen
Maruti Suzuki Alto K10 VXi,272550,55230,Petrol,1,2012,Hyderabad,Maruti
Maruti Suzuki Alto K10 LXi,288575,70450,Petrol,1,2012,Hyderabad,Maruti
Honda City ZX GXi,326668,78948,Petrol,1,2007,Hyderabad,Honda
Maruti Suzuki Wagon R LXI,206943,71928,Petrol,1,2008,Hyderabad,Maruti
Honda Brio V MT,435901,59988,Petrol,1,2013,Hyderabad,Honda
Maruti Suzuki Ciaz VDi+ SHVS,796756,68429,Diesel,1,2016,Hyderabad,Maruti
Hyundai i10 Era iRDE2,348779,32317,Petrol,1,2012,Hyderabad,Hyundai
Maruti Suzuki Alto LXI,199910,87275,Petrol,1,2009,Hyderabad,Maruti
Nissan Micra XV Petrol,348332,82568,Petrol,1,2013,Hyderabad,Nissan
Hyundai Grand i10 Sportz U2...,468888,79225,Diesel,1,2015,Hyderabad,Hyundai
Honda Brio S MT,349071,94598,Petrol,1,2013,Hyderabad,Honda
Toyota Innova 2.5 ZX BS IV ...,1550000,55000,Diesel,1,2015,Hyderabad,Toyota
Jaguar XF Diesel 3.0 V6,1850000,57000,Diesel,1,2012,Hyderabad,Jaguar
BMW X1 xDrive20d xLine,2775000,61000,Diesel,1,2016,Hyderabad,BMW
Toyota Innova 2.5 VX 8 STR ...,895000,105000,Diesel,2,2013,Hyderabad,Toyota
Tata Tiago NRG Petrol,615000,6000,Petrol,1,2019,Hyderabad,Tata
Maruti Suzuki Vitara Brezza...,775000,78000,Diesel,1,2016,Hyderabad,Maruti
Maruti Suzuki Vitara Brezza...,1090000,14600,Diesel,1,2019,Hyderabad,Maruti
Honda BR-V S (Petrol),970000,26457,Petrol,1,2019,Hyderabad,Honda
Land Rover Range Rover Vela...,7800000,31951,Petrol,1,2018,Hyderabad,Land
Hyundai Elite i20 1.4 U2 CR...,740000,17000,Diesel,1,2017,Hyderabad,Hyundai
Mahindra XUV500 W8 4 X 4,985000,79304,Diesel,1,2015,Hyderabad,Mahindra
Toyota Innova Crysta 2.4 VX...,1750000,65000,Diesel,1,2016,Hyderabad,Toyota
Honda City 1.5 V AT,450000,33825,Petrol,1,2009,Hyderabad,Honda
Toyota Innova 2.5 V 8 STR,545000,146000,Diesel,1,2007,Hyderabad,Toyota
Maruti Suzuki Dzire VDI,830000,29000,Diesel,1,2019,Hyderabad,Maruti
Ford Figo Duratorq Diesel E...,290000,68000,Diesel,1,2011,Hyderabad,Ford
Hyundai Eon Magna +,325000,77000,Petrol,1,2015,Hyderabad,Hyundai
